[2019-08-13 12:25:46,866][Thread-10][INFO][org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor:208] Shutting down ExecutorService 'applicationTaskExecutor'
[2019-08-13 12:25:48,042][Thread-10][INFO][com.zaxxer.hikari.HikariDataSource:350] HikariPool-1 - Shutdown initiated...
[2019-08-13 12:25:48,044][Thread-10][INFO][com.zaxxer.hikari.HikariDataSource:352] HikariPool-1 - Shutdown completed.
[2019-08-13 12:27:23,833][main][INFO][com.iresearch.svc.SvcApplication:50] Starting SvcApplication on mac-clouddxw.local with PID 27282 (/Users/clouddxw/IdeaProjects/svc/target/classes started by clouddxw in /Users/clouddxw/IdeaProjects/svc)
[2019-08-13 12:27:23,840][main][INFO][com.iresearch.svc.SvcApplication:675] No active profile set, falling back to default profiles: default
[2019-08-13 12:27:24,585][main][INFO][org.springframework.data.repository.config.RepositoryConfigurationDelegate:244] Multiple Spring Data modules found, entering strict repository configuration mode!
[2019-08-13 12:27:24,589][main][INFO][org.springframework.data.repository.config.RepositoryConfigurationDelegate:126] Bootstrapping Spring Data repositories in DEFAULT mode.
[2019-08-13 12:27:24,622][main][INFO][org.springframework.data.repository.config.RepositoryConfigurationDelegate:182] Finished Spring Data repository scanning in 17ms. Found 0 repository interfaces.
[2019-08-13 12:27:24,900][main][INFO][org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:330] Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$4b71926e] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2019-08-13 12:27:25,289][main][INFO][org.springframework.boot.web.embedded.tomcat.TomcatWebServer:90] Tomcat initialized with port(s): 9095 (http)
[2019-08-13 12:27:25,308][main][INFO][org.apache.coyote.http11.Http11NioProtocol:173] Initializing ProtocolHandler ["http-nio-9095"]
[2019-08-13 12:27:25,318][main][INFO][org.apache.catalina.core.StandardService:173] Starting service [Tomcat]
[2019-08-13 12:27:25,319][main][INFO][org.apache.catalina.core.StandardEngine:173] Starting Servlet engine: [Apache Tomcat/9.0.14]
[2019-08-13 12:27:25,326][main][INFO][org.apache.catalina.core.AprLifecycleListener:173] The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [/Users/clouddxw/Library/Java/Extensions:/Library/Java/Extensions:/Network/Library/Java/Extensions:/System/Library/Java/Extensions:/usr/lib/java:.]
[2019-08-13 12:27:25,427][main][INFO][org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]:173] Initializing Spring embedded WebApplicationContext
[2019-08-13 12:27:25,427][main][INFO][org.springframework.web.context.ContextLoader:296] Root WebApplicationContext: initialization completed in 1498 ms
[2019-08-13 12:27:26,490][main][INFO][org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor:171] Initializing ExecutorService 'applicationTaskExecutor'
[2019-08-13 12:27:26,942][main][INFO][org.apache.coyote.http11.Http11NioProtocol:173] Starting ProtocolHandler ["http-nio-9095"]
[2019-08-13 12:27:26,983][main][INFO][org.springframework.boot.web.embedded.tomcat.TomcatWebServer:204] Tomcat started on port(s): 9095 (http) with context path ''
[2019-08-13 12:27:26,986][main][INFO][com.iresearch.svc.SvcApplication:59] Started SvcApplication in 3.578 seconds (JVM running for 4.861)
[2019-08-13 12:27:32,733][http-nio-9095-exec-1][INFO][org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]:173] Initializing Spring DispatcherServlet 'dispatcherServlet'
[2019-08-13 12:27:32,733][http-nio-9095-exec-1][INFO][org.springframework.web.servlet.DispatcherServlet:524] Initializing Servlet 'dispatcherServlet'
[2019-08-13 12:27:32,742][http-nio-9095-exec-1][INFO][org.springframework.web.servlet.DispatcherServlet:546] Completed initialization in 9 ms
[2019-08-13 12:27:34,762][http-nio-9095-exec-6][INFO][io.lettuce.core.EpollProvider:68] Starting without optional epoll library
[2019-08-13 12:27:34,764][http-nio-9095-exec-6][INFO][io.lettuce.core.KqueueProvider:70] Starting without optional kqueue library
[2019-08-13 12:27:34,921][http-nio-9095-exec-6][INFO][com.zaxxer.hikari.HikariDataSource:110] HikariPool-1 - Starting...
[2019-08-13 12:27:35,290][http-nio-9095-exec-6][INFO][com.zaxxer.hikari.pool.PoolBase:525] HikariPool-1 - Driver does not support get/set network timeout for connections. (不支持此操作。)
[2019-08-13 12:27:35,344][http-nio-9095-exec-6][INFO][com.zaxxer.hikari.HikariDataSource:123] HikariPool-1 - Start completed.
[2019-08-13 12:27:35,574][http-nio-9095-exec-6][INFO][com.iresearch.svc.controller.LoginController:159] com.iresearch.svc.controller.LoginController$1Checkres@1e20a769
[2019-08-13 12:27:35,600][http-nio-9095-exec-7][INFO][com.iresearch.svc.controller.LoginInterceptor_v:78] admin
[2019-08-13 12:27:35,600][http-nio-9095-exec-7][INFO][com.iresearch.svc.controller.LoginInterceptor_v:80] 1
[2019-08-13 12:27:35,964][http-nio-9095-exec-2][INFO][com.iresearch.svc.controller.IndexController:109] |@|0:0:0:0:0:0:0:1|com.iresearch.svc.bean.LoginUser@58ed51a1|首页|打开页面|@|
[2019-08-13 12:29:35,551][Thread-11][INFO][org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor:208] Shutting down ExecutorService 'applicationTaskExecutor'
[2019-08-13 12:29:36,681][Thread-11][INFO][com.zaxxer.hikari.HikariDataSource:350] HikariPool-1 - Shutdown initiated...
[2019-08-13 12:29:36,683][Thread-11][INFO][com.zaxxer.hikari.HikariDataSource:352] HikariPool-1 - Shutdown completed.
[2019-08-13 12:29:39,243][main][INFO][com.iresearch.svc.SvcApplication:50] Starting SvcApplication on mac-clouddxw.local with PID 27298 (/Users/clouddxw/IdeaProjects/svc/target/classes started by clouddxw in /Users/clouddxw/IdeaProjects/svc)
[2019-08-13 12:29:39,250][main][INFO][com.iresearch.svc.SvcApplication:675] No active profile set, falling back to default profiles: default
[2019-08-13 12:29:39,885][main][INFO][org.springframework.data.repository.config.RepositoryConfigurationDelegate:244] Multiple Spring Data modules found, entering strict repository configuration mode!
[2019-08-13 12:29:39,889][main][INFO][org.springframework.data.repository.config.RepositoryConfigurationDelegate:126] Bootstrapping Spring Data repositories in DEFAULT mode.
[2019-08-13 12:29:39,918][main][INFO][org.springframework.data.repository.config.RepositoryConfigurationDelegate:182] Finished Spring Data repository scanning in 17ms. Found 0 repository interfaces.
[2019-08-13 12:29:40,190][main][INFO][org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:330] Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$bd19bbff] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2019-08-13 12:29:40,469][main][INFO][org.springframework.boot.web.embedded.tomcat.TomcatWebServer:90] Tomcat initialized with port(s): 9095 (http)
[2019-08-13 12:29:40,481][main][INFO][org.apache.coyote.http11.Http11NioProtocol:173] Initializing ProtocolHandler ["http-nio-9095"]
[2019-08-13 12:29:40,491][main][INFO][org.apache.catalina.core.StandardService:173] Starting service [Tomcat]
[2019-08-13 12:29:40,492][main][INFO][org.apache.catalina.core.StandardEngine:173] Starting Servlet engine: [Apache Tomcat/9.0.14]
[2019-08-13 12:29:40,498][main][INFO][org.apache.catalina.core.AprLifecycleListener:173] The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [/Users/clouddxw/Library/Java/Extensions:/Library/Java/Extensions:/Network/Library/Java/Extensions:/System/Library/Java/Extensions:/usr/lib/java:.]
[2019-08-13 12:29:40,568][main][INFO][org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]:173] Initializing Spring embedded WebApplicationContext
[2019-08-13 12:29:40,568][main][INFO][org.springframework.web.context.ContextLoader:296] Root WebApplicationContext: initialization completed in 1244 ms
[2019-08-13 12:29:41,322][main][INFO][org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor:171] Initializing ExecutorService 'applicationTaskExecutor'
[2019-08-13 12:29:41,685][main][INFO][org.apache.coyote.http11.Http11NioProtocol:173] Starting ProtocolHandler ["http-nio-9095"]
[2019-08-13 12:29:41,734][main][INFO][org.springframework.boot.web.embedded.tomcat.TomcatWebServer:204] Tomcat started on port(s): 9095 (http) with context path ''
[2019-08-13 12:29:41,738][main][INFO][com.iresearch.svc.SvcApplication:59] Started SvcApplication in 2.854 seconds (JVM running for 4.144)
[2019-08-13 12:29:45,058][http-nio-9095-exec-1][INFO][org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]:173] Initializing Spring DispatcherServlet 'dispatcherServlet'
[2019-08-13 12:29:45,059][http-nio-9095-exec-1][INFO][org.springframework.web.servlet.DispatcherServlet:524] Initializing Servlet 'dispatcherServlet'
[2019-08-13 12:29:45,065][http-nio-9095-exec-1][INFO][org.springframework.web.servlet.DispatcherServlet:546] Completed initialization in 6 ms
[2019-08-13 12:29:46,563][http-nio-9095-exec-4][INFO][io.lettuce.core.EpollProvider:68] Starting without optional epoll library
[2019-08-13 12:29:46,564][http-nio-9095-exec-4][INFO][io.lettuce.core.KqueueProvider:70] Starting without optional kqueue library
[2019-08-13 12:29:46,727][http-nio-9095-exec-4][INFO][com.iresearch.svc.controller.LoginController:159] com.iresearch.svc.controller.LoginController$1Checkres@2dc05c26
[2019-08-13 12:29:46,756][http-nio-9095-exec-5][INFO][com.iresearch.svc.controller.LoginInterceptor_v:78] admin
[2019-08-13 12:29:46,756][http-nio-9095-exec-5][INFO][com.iresearch.svc.controller.LoginInterceptor_v:80] 1
[2019-08-13 12:29:46,809][http-nio-9095-exec-7][INFO][com.iresearch.svc.controller.IndexController:109] |@|0:0:0:0:0:0:0:1|com.iresearch.svc.bean.LoginUser@71b720e0|首页|打开页面|@|
[2019-08-13 12:30:01,256][Thread-9][INFO][org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor:208] Shutting down ExecutorService 'applicationTaskExecutor'
[2019-08-13 12:30:04,797][main][INFO][com.iresearch.svc.SvcApplication:50] Starting SvcApplication on mac-clouddxw.local with PID 27307 (/Users/clouddxw/IdeaProjects/svc/target/classes started by clouddxw in /Users/clouddxw/IdeaProjects/svc)
[2019-08-13 12:30:04,804][main][INFO][com.iresearch.svc.SvcApplication:675] No active profile set, falling back to default profiles: default
[2019-08-13 12:30:05,422][main][INFO][org.springframework.data.repository.config.RepositoryConfigurationDelegate:244] Multiple Spring Data modules found, entering strict repository configuration mode!
[2019-08-13 12:30:05,425][main][INFO][org.springframework.data.repository.config.RepositoryConfigurationDelegate:126] Bootstrapping Spring Data repositories in DEFAULT mode.
[2019-08-13 12:30:05,456][main][INFO][org.springframework.data.repository.config.RepositoryConfigurationDelegate:182] Finished Spring Data repository scanning in 19ms. Found 0 repository interfaces.
[2019-08-13 12:30:05,758][main][INFO][org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:330] Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$70cc5e82] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2019-08-13 12:30:06,013][main][INFO][org.springframework.boot.web.embedded.tomcat.TomcatWebServer:90] Tomcat initialized with port(s): 9095 (http)
[2019-08-13 12:30:06,025][main][INFO][org.apache.coyote.http11.Http11NioProtocol:173] Initializing ProtocolHandler ["http-nio-9095"]
[2019-08-13 12:30:06,035][main][INFO][org.apache.catalina.core.StandardService:173] Starting service [Tomcat]
[2019-08-13 12:30:06,036][main][INFO][org.apache.catalina.core.StandardEngine:173] Starting Servlet engine: [Apache Tomcat/9.0.14]
[2019-08-13 12:30:06,042][main][INFO][org.apache.catalina.core.AprLifecycleListener:173] The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [/Users/clouddxw/Library/Java/Extensions:/Library/Java/Extensions:/Network/Library/Java/Extensions:/System/Library/Java/Extensions:/usr/lib/java:.]
[2019-08-13 12:30:06,111][main][INFO][org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]:173] Initializing Spring embedded WebApplicationContext
[2019-08-13 12:30:06,111][main][INFO][org.springframework.web.context.ContextLoader:296] Root WebApplicationContext: initialization completed in 1227 ms
[2019-08-13 12:30:06,806][main][INFO][org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor:171] Initializing ExecutorService 'applicationTaskExecutor'
[2019-08-13 12:30:07,147][main][INFO][org.apache.coyote.http11.Http11NioProtocol:173] Starting ProtocolHandler ["http-nio-9095"]
[2019-08-13 12:30:07,183][main][INFO][org.springframework.boot.web.embedded.tomcat.TomcatWebServer:204] Tomcat started on port(s): 9095 (http) with context path ''
[2019-08-13 12:30:07,187][main][INFO][com.iresearch.svc.SvcApplication:59] Started SvcApplication in 2.793 seconds (JVM running for 3.919)
[2019-08-13 12:30:12,486][http-nio-9095-exec-1][INFO][org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]:173] Initializing Spring DispatcherServlet 'dispatcherServlet'
[2019-08-13 12:30:12,487][http-nio-9095-exec-1][INFO][org.springframework.web.servlet.DispatcherServlet:524] Initializing Servlet 'dispatcherServlet'
[2019-08-13 12:30:12,493][http-nio-9095-exec-1][INFO][org.springframework.web.servlet.DispatcherServlet:546] Completed initialization in 6 ms
[2019-08-13 12:30:14,070][http-nio-9095-exec-4][INFO][io.lettuce.core.EpollProvider:68] Starting without optional epoll library
[2019-08-13 12:30:14,072][http-nio-9095-exec-4][INFO][io.lettuce.core.KqueueProvider:70] Starting without optional kqueue library
[2019-08-13 12:30:14,243][http-nio-9095-exec-4][INFO][com.iresearch.svc.controller.LoginController:159] com.iresearch.svc.controller.LoginController$1Checkres@543d6621
[2019-08-13 12:30:14,276][http-nio-9095-exec-5][INFO][com.iresearch.svc.controller.LoginInterceptor_v:78] admin
[2019-08-13 12:30:14,277][http-nio-9095-exec-5][INFO][com.iresearch.svc.controller.LoginInterceptor_v:80] 1
[2019-08-13 12:30:14,332][http-nio-9095-exec-7][INFO][com.iresearch.svc.controller.IndexController:109] |@|0:0:0:0:0:0:0:1|com.iresearch.svc.bean.LoginUser@1df9ca33|首页|打开页面|@|
[2019-08-13 12:30:46,232][Thread-10][INFO][org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor:208] Shutting down ExecutorService 'applicationTaskExecutor'
[2019-08-13 12:30:49,738][main][INFO][com.iresearch.svc.SvcApplication:50] Starting SvcApplication on mac-clouddxw.local with PID 27315 (/Users/clouddxw/IdeaProjects/svc/target/classes started by clouddxw in /Users/clouddxw/IdeaProjects/svc)
[2019-08-13 12:30:49,746][main][INFO][com.iresearch.svc.SvcApplication:675] No active profile set, falling back to default profiles: default
[2019-08-13 12:30:50,395][main][INFO][org.springframework.data.repository.config.RepositoryConfigurationDelegate:244] Multiple Spring Data modules found, entering strict repository configuration mode!
[2019-08-13 12:30:50,399][main][INFO][org.springframework.data.repository.config.RepositoryConfigurationDelegate:126] Bootstrapping Spring Data repositories in DEFAULT mode.
[2019-08-13 12:30:50,430][main][INFO][org.springframework.data.repository.config.RepositoryConfigurationDelegate:182] Finished Spring Data repository scanning in 19ms. Found 0 repository interfaces.
